id,name,night,cleaning,service,user_id
1,1259 Green Cliff,271,23,45,47
2,2642 Klocko Station,269,32,65,57
3,853 Christine Ville,110,36,17,52
4,882 Fannie Dam,80,1,39,55
5,2037 Teagan Hills,86,39,36,54
6,166 Caleb Court,34,48,28,76
7,1084 Zieme Throughway,184,3,55,46
8,2139 Ines Isle,13,2,55,40
9,2676 Bergstrom Track,232,0,31,9
10,2582 Bernard Islands,123,35,63,5
11,1784 Pollich Hills,199,10,34,32
12,2015 O'Keefe Pines,236,11,12,20
13,202 Dominique Lights,171,16,7,68
14,53 Brandy Alley,171,9,16,76
15,1914 Buster Trace,84,19,27,9
16,25 Schulist Estates,284,12,25,21
17,2755 Marianna Cove,153,38,69,71
18,173 Ebert Stream,294,29,61,78
19,580 Fiona Mews,26,38,52,45
20,894 Connor Avenue,84,40,67,86
21,536 Kaelyn Forks,129,25,32,37
22,1558 Little Neck,239,36,43,96
23,1701 Gusikowski Islands,7,38,3,79
24,2069 Marshall Vista,96,17,33,78
25,2185 Macejkovic Land,188,41,66,81
26,1689 Erick Key,235,23,60,20
27,2966 Denis Trail,4,33,22,36
28,406 Zackary Ports,41,19,19,30
29,2295 Walker Neck,49,28,7,65
30,522 Heller Throughway,249,23,0,91
31,540 Ernie Parkways,121,14,66,39
32,2841 Schoen Square,261,4,51,15
33,2742 Herman Rapids,269,37,22,45
34,1580 Romaine Stravenue,100,6,6,59
35,1529 Gleichner Forges,163,30,48,5
36,2112 Stark Garden,21,44,14,70
37,1524 Braun Mews,246,21,43,91
38,1122 Douglas Throughway,1,32,19,23
39,115 Rempel Gateway,238,31,68,1
40,1134 Abernathy Divide,147,30,25,99
41,356 Maryse Streets,35,22,30,72
42,1146 Willy Branch,238,0,38,48
43,760 Derek Ports,186,40,2,62
44,2229 Chelsey Field,195,30,28,75
45,978 Braun Port,110,13,39,52
46,1745 Arvel Keys,295,36,57,11
47,1109 Ondricka Gardens,126,7,68,58
48,430 Ima Rest,184,24,11,47
49,1865 Lizeth Prairie,248,27,45,78
50,2755 Hazel Branch,216,23,50,79
51,1849 Leonie Shore,214,22,45,14
52,1722 Kuphal Coves,72,41,23,30
53,2828 Schulist Flat,208,3,29,25
54,1314 Hadley Prairie,202,15,20,40
55,2431 Gideon Alley,8,2,41,59
56,2654 Kieran Forest,232,24,26,43
57,2015 Stracke Village,131,31,57,13
58,1126 Kertzmann Keys,189,19,67,94
59,2424 Ayana Stravenue,249,30,23,61
60,1419 Johnpaul Lights,292,12,52,28
61,2952 McKenzie Stream,146,48,6,21
62,1042 Towne Crossing,192,4,45,49
63,343 Malcolm Branch,175,3,16,37
64,600 Onie Brook,62,24,16,94
65,482 Clementina Orchard,225,6,22,95
66,640 Simonis Circles,256,15,56,54
67,125 Cole Crossroad,247,16,31,27
68,2812 Chadd Court,232,34,11,33
69,665 Feil Flat,226,9,27,79
70,2887 Jordy Spurs,281,23,36,11
71,1694 Moises Village,153,28,23,99
72,705 Janet Wall,20,1,45,13
73,604 Vincenzo Plains,130,29,53,73
74,2643 Moriah Shores,202,43,12,85
75,833 McCullough Pass,270,35,38,75
76,2131 Maynard Creek,222,29,7,50
77,1713 Letha Mission,207,17,20,68
78,329 Toby Turnpike,184,34,9,73
79,1237 Lorenzo Overpass,47,24,54,72
80,1412 Marlen Flat,45,5,19,72
81,1499 Flavio Rue,197,19,23,0
82,1479 Halvorson Stravenue,154,8,10,50
83,624 Rodolfo Plains,222,2,43,43
84,124 Chandler Street,0,22,17,93
85,2704 Rutherford Port,92,4,8,10
86,419 Bryce Extension,153,49,44,30
87,490 Rogahn Plaza,166,35,8,63
88,2710 Kirlin Falls,24,38,25,63
89,1117 Rempel Port,65,46,15,67
90,1042 Ruthie Flat,167,48,1,29
91,2042 Mertz Manor,140,49,15,15
92,201 Hugh Summit,20,22,59,68
93,1671 Lorenza Trail,157,16,9,63
94,158 Reichert Burgs,40,34,65,24
95,1962 Koelpin Mall,272,5,58,25
96,1892 King Prairie,276,21,15,86
97,1111 Barrows Mountains,30,14,49,27
98,2002 Raynor Islands,142,18,64,48
99,761 Quigley Grove,4,5,63,23
100,142 Zoila Prairie,20,31,24,65
